SampleID	Day	Diet	HPDay	HCDay	HFDay	StdDay	NegDay	AnimalCode	Clostridioides	Chao1	Observed_otus	Shannon	Simpson	CDISeverity
D0HCB	0	HighCarb	Blank	HighCarb0	Blank	Blank	Blank	B	0	180	180	5.454618649	0.943037386	NA
D0HCG	0	HighCarb	Blank	HighCarb0	Blank	Blank	Blank	G	0	154	154	5.375664524	0.939654058	NA
D0HCOP	0	HighCarb	Blank	HighCarb0	Blank	Blank	Blank	OP	0	203	203	5.666524455	0.95021701	NA
D0HCR	0	HighCarb	Blank	HighCarb0	Blank	Blank	Blank	R	0	98	98	5.058205531	0.936881115	NA
D0HCY	0	HighCarb	Blank	HighCarb0	Blank	Blank	Blank	Y	0	192	192	5.472399744	0.94323377	NA
D0HFB	0	HighFat	Blank	Blank	HighFat0	Blank	Blank	B	0	137	137	4.108764196	0.837897242	NA
D0HFG	0	HighFat	Blank	Blank	HighFat0	Blank	Blank	G	0	130	130	4.500656161	0.859051038	NA
D0HFOP	0	HighFat	Blank	Blank	HighFat0	Blank	Blank	OP	0	167	167	4.878322185	0.906210531	NA
D0HFR	0	HighFat	Blank	Blank	HighFat0	Blank	Blank	R	0	145	145	3.65535464	0.739705361	NA
D0HFY	0	HighFat	Blank	Blank	HighFat0	Blank	Blank	Y	0	131	131	4.328385556	0.855878941	NA
D0HPB	0	HighProtein	HighProtein0	Blank	Blank	Blank	Blank	B	0	161	161	5.555918663	0.950974928	NA
D0HPG	0	HighProtein	HighProtein0	Blank	Blank	Blank	Blank	G	0	189	189	5.646033248	0.946307777	NA
D0HPOP	0	HighProtein	HighProtein0	Blank	Blank	Blank	Blank	OP	0	162	162	5.360945677	0.944478884	NA
D0HPR	0	HighProtein	HighProtein0	Blank	Blank	Blank	Blank	R	0	198	198	5.606240583	0.935713429	NA
D0HPY	0	HighProtein	HighProtein0	Blank	Blank	Blank	Blank	Y	0	171	171	5.584699758	0.949152119	NA
D0NGB	0	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)0	B	0	212	212	6.146397747	0.973030805	NA
D0NGG	0	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)0	G	0	175	175	5.389501728	0.94213151	NA
D0NGOP	0	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)0	OP	0	221	221	6.034709272	0.965053019	NA
D0NGR	0	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)0	R	0	113	113	5.059071847	0.926797017	NA
D0NGY	0	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)0	Y	0	182	182	5.73395141	0.952980966	NA
D0PSB	0	Standard	Blank	Blank	Blank	Standard0	Blank	B	0	159	159	4.981298182	0.9187385	NA
D0PSG	0	Standard	Blank	Blank	Blank	Standard0	Blank	G	0	177	177	5.267857273	0.939561127	NA
D0PSOP	0	Standard	Blank	Blank	Blank	Standard0	Blank	OP	0	173	173	5.243233233	0.931644248	NA
D0PSR	0	Standard	Blank	Blank	Blank	Standard0	Blank	R	0	160	160	5.100359864	0.930105651	NA
D0PSY	0	Standard	Blank	Blank	Blank	Standard0	Blank	Y	0	176	176	5.459285103	0.943774991	NA
D10HCB	10	HighCarb	Blank	HighCarb10	Blank	Blank	Blank	B	0	78	78	3.009413563	0.717102434	NA
D10HCG	10	HighCarb	Blank	HighCarb10	Blank	Blank	Blank	G	0	88	87	3.566220922	0.799454548	NA
D10HCOP	10	HighCarb	Blank	HighCarb10	Blank	Blank	Blank	OP	0	106	106	3.468806061	0.779172175	NA
D10HCR	10	HighCarb	Blank	HighCarb10	Blank	Blank	Blank	R	0	130	130	4.086597533	0.825609504	NA
