	Domain	Phylum	Class	Order	Family	Genus	Species
bf7174ec149dec4f7f6dece0a835c17d	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGCAAA164-E04	
e95a9ebcaa562be0297289b2b767dd43	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Acetoanaerobium	
eb2944dd3d568ed71cc033a002917e70	Bacteria	Omnitrophicaeota	Omnitrophia				
0d2da33ed6815903f635c4bd61d6907c	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured	
f1bc7cfd9990aed0a1fb21d0e350282b	Bacteria	Proteobacteria	Gammaproteobacteria	OM182clade			
ca76a465c529c46f78f5b64967e204b4	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1		
add62cf941ecc37c7b96996eda5b8178	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fournierella	
efc36cbf61dd24a7eb844a5cff3f25d6	Bacteria	Tenericutes	Mollicutes	MollicutesRF39			
3ecabe6e341ddaa8503fb4a237835f95	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	
bd8e26244121a24a9fcb29dbcfbe74be	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured	
53a5d1f5a45ef38143af63b71a51c714	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	
c9fde8ba796099a42f3fbe1e9f5d91e9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	
93cee515ce6550c2c5a184a7e7f75d6a	Bacteria	Bacteroidetes	Bacteroidia				
acf244e9d7d03dc20066730e653c84eb	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
0a5df133abace7cc2b85bc14e6406bb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	unculturedcompostbacterium
4467d13ce3a6c5a472210f4933f36b16	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
01b055bb3b19a6daec3ccb1367e9d6ba	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema2	bacteriumenrichmentculturecloneBBMC-12
36de162b294c9134377e013121fbe75b	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
373da07aec1f564022d9e7c3b48e31de	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1	Clostridiumsensustricto1	
1f62b8d6f56cb4a80bfbab4c47a35215	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
b001d23c71c26b3e51974d7ca69fceaa	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)clade	
9d0aa451d781aa15fc40508d38766fb9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
c517a975e2a12a8862ffcde2a415de8d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
6a53919719e4b7014fffec86999e304f	Bacteria	Patescibacteria	Parcubacteria	CandidatusKaiserbacteria	unculturedorganism	unculturedorganism	unculturedorganism
379d7c2f0e28fc4d44de9795ec6f32fa	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
8bd57bebcb2e92a3dc26abec5d376199	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium	
d5e60f2da609afd3a4008e7080b08b6d	Bacteria	Tenericutes	Mollicutes	MollicutesRF39			
bff052075290582af393b3fb9ac4e5e6	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	ChristensenellaceaeR-7group	unculturedmarinebacterium
6fd4e0fa1a226e4d660a54114a514d7d	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacteriumgastrosuis
aa1bb76efac675736ec41d45f7465ef0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
43558b2f99441c3b35fe6b3b32ab0ac1	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae		
ff85d9fee5c5d57c1dc55471024c1209	Bacteria	Patescibacteria	Microgenomatia	CandidatusPacebacteria	unculturedMicrogenomatesgroupbacterium	unculturedMicrogenomatesgroupbacterium	unculturedMicrogenomatesgroupbacterium
f021627ea6e944c894f1145ff7baa0e5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
664094535172834148a71a85f5307c67	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	uncultured	
c7d138d4de3d0a44b01fb3935ae67099	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	
9fc9aecb918e5bd95da52b27d2ac828d	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	
965391f43c809a229ab1682cbfc2405c	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	uncultured	
1573fb5c3a65fc7a4b018ed9c64ad030	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae		
